name,nameascii,adm0name,adm0_a3,scalerank,natscale,labelrank,featurecla,pop_max,pop_min,longitude,latitude,pixel_x,pixel_y,pixel_x_int,pixel_y_int,centered_x,centered_y,centered_x_int,centered_y_int,region_id,population_weight,network_weight,security_weight,financial_weight,cultural_weight,government_weight
Paris,Paris,France,FRA,0,600,3,Admin-0 capital,9904000,11177,2.35299246153921,48.8580923162691,2532.68045085471,488.082051162929,2533,488,32.6804508547111,-511.917948837071,33,-512,western_europe,3.31,8,8,8.5,5.66,8.2
London,London,United Kingdom,GBR,0,600,5,Admin-0 capital,8567000,7421209,-0.1186677,51.5019406,2498.3518375,451.361936111111,2498,451,-1.64816250000013,-548.638063888889,-2,-549,western_europe,2.96,8,8,8.5,5.48,8.2
Madrid,Madrid,Spain,ESP,1,300,3,Admin-0 capital,5567000,50437,-3.6852975,40.4019721,2448.8153125,605.528165277778,2449,606,-51.1846875000001,-394.471834722222,-51,-394,western_europe,2.19,8,8,8.5,5.09,8.2
Barcelona,Barcelona,Spain,ESP,2,200,3,Admin-1 capital,4920000,1581595,2.1814245,41.3852454,2530.2975625,591.871591666667,2530,592,30.2975625000004,-408.128408333333,30,-408,western_europe,2.02,8,8,8.5,5.01,8.2
Berlin,Berlin,Germany,DEU,1,300,3,Admin-0 capital,3406000,3094014,13.3996028,52.5237645,2686.10559444444,437.1699375,2686,437,186.105594444445,-562.8300625,186,-563,western_europe,1.62,8,8,8.5,4.81,8.2
Rome,Rome,Italy,ITA,0,600,3,Admin-0 capital,3339000,35452,12.4813126,41.8979015,2673.35156388889,584.751368055556,2673,585,173.351563888889,-415.248631944444,173,-415,western_europe,1.61,8,8,8.5,4.8,8.2
Milan,Milan,Italy,ITA,2,200,3,Admin-1 region capital,2945000,1306661,9.2030631,45.4719211,2627.82032083333,535.112206944444,2628,535,127.820320833333,-464.887793055556,128,-465,western_europe,1.5,8,8,8.5,4.75,8.2
Stuttgart,Stuttgart,Germany,DEU,6,30,3,Admin-1 capital,2944700,606588,9.1999963,48.7799799,2627.77772638889,489.166945833333,2628,489,127.777726388889,-510.833054166667,128,-511,western_europe,1.5,8,8,8.5,4.75,8.2
Frankfurt,Frankfurt,Germany,DEU,2,200,3,Populated place,2895000,679664,8.6750154,50.0999768,2620.486325,470.833655555556,2620,471,120.486325,-529.166344444445,120,-529,western_europe,1.49,8,8,8.5,4.75,8.2
Lisbon,Lisbon,Portugal,PRT,2,200,6,Admin-0 capital,2812000,517802,-9.1468122,38.7246687,2372.96094166667,628.824045833333,2373,629,-127.039058333333,-371.175954166667,-127,-371,western_europe,1.47,8,8,8.5,4.74,8.2
Vienna,Vienna,Austria,AUT,1,300,7,Admin-0 capital,2400000,1731000,16.3646931,48.2019611,2727.28740416667,497.194984722222,2727,497,227.287404166667,-502.805015277778,227,-503,western_europe,1.36,8,8,8.5,4.68,8.2
Mannheim,Mannheim,Germany,DEU,7,20,3,Populated place,2362000,313174,8.470015,49.5003752,2617.63909722222,479.161455555556,2618,479,117.639097222222,-520.838544444444,118,-521,western_europe,1.35,8,8,8.5,4.67,8.2
Birmingham,Birmingham,United Kingdom,GBR,4,50,5,Populated place,2285000,984333,-1.9219426,52.4769198,2473.30635277778,437.820558333333,2473,438,-26.6936472222219,-562.179441666667,-27,-562,western_europe,1.33,8,8,8.5,4.67,8.2
Naples,Naples,Italy,ITA,2,200,3,Admin-1 region capital,2250000,988972,14.2430655,40.8419711,2697.82035416667,599.417068055556,2698,599,197.820354166667,-400.582931944444,198,-401,western_europe,1.32,8,8,8.5,4.66,8.2
Manchester,Manchester,United Kingdom,GBR,4,50,5,Populated place,2230000,395515,-2.24868466715989,53.4753199247245,2468.76826851167,423.953889934382,2469,424,-31.2317314883317,-576.046110065618,-31,-576,western_europe,1.32,8,8,8.5,4.66,8.2
Hamburg,Hamburg,Germany,DEU,2,200,3,Admin-1 capital,1757000,1739117,9.9980533,53.5519705,2638.86185138889,422.889298611111,2639,423,138.861851388889,-577.110701388889,139,-577,western_europe,1.2,8,8,8.5,4.6,8.2
Brussels,Brussels,Belgium,BEL,2,200,8,Admin-0 capital,1743000,1019022,4.3313707,50.8352629,2560.15792638889,460.621348611111,2560,461,60.1579263888889,-539.378651388889,60,-539,western_europe,1.19,8,8,8.5,4.59,8.2
Essen,Essen,Germany,DEU,8,10,3,Populated place,1742135,573468,7.0166154,51.4499978,2597.45299166667,452.083363888889,2597,452,97.4529916666666,-547.916636111111,97,-548,western_europe,1.19,8,8,8.5,4.59,8.2
Turin,Turin,Italy,ITA,6,30,3,Admin-1 region capital,1652000,865263,7.6680146,45.072333,2606.50020277778,540.662041666667,2607,541,106.500202777778,-459.337958333333,107,-459,western_europe,1.17,8,8,8.5,4.58,8.2
Leeds,Leeds,United Kingdom,GBR,6,30,5,Populated place,1529000,455123,-1.55134771141284,53.7900166377523,2478.45350400816,419.58310225344,2478,420,-21.546495991845,-580.41689774656,-22,-580,western_europe,1.14,8,8,8.5,4.57,8.2
Florence,Florence,Italy,ITA,4,50,3,Admin-1 region capital,1500000,371517,11.2500004,43.7800008,2656.25000555556,558.6111,2656,559,156.250005555556,-441.3889,156,-441,western_europe,1.13,8,8,8.5,4.56,8.2
Lyon,Lyon,France,FRA,3,110,3,Admin-1 region capital,1423000,472317,4.8280846,45.7719544,2567.05673055556,530.945077777778,2567,531,67.056730555556,-469.054922222222,67,-469,western_europe,1.11,8,8,8.5,4.55,8.2
The Hague,The Hague,Netherlands,NLD,4,50,8,Admin-0 capital alt,1406000,501725,4.2699613,52.0800368,2559.30501805556,443.332822222222,2559,443,59.3050180555556,-556.667177777778,59,-557,western_europe,1.11,8,8,8.5,4.55,8.2
Marseille,Marseille,France,FRA,4,50,3,Admin-1 region capital,1400000,794811,5.3730643,43.2919249,2574.62589305556,565.389931944445,2575,565,74.6258930555555,-434.610068055556,75,-435,western_europe,1.1,8,8,8.5,4.55,8.2
Porto,Porto,Portugal,PRT,6,30,6,Admin-1 capital,1337000,249633,-8.6219471,41.1519522,2380.25073472222,595.111775,2380,595,-119.749265277778,-404.888225,-120,-405,western_europe,1.09,8,8,8.5,4.54,8.2
Sheffield,Sheffield,United Kingdom,GBR,8,10,5,Populated place,1292900,552700,-1.4999966,53.3666767,2479.16671388889,425.462823611111,2479,425,-20.8332861111112,-574.537176388889,-21,-575,western_europe,1.08,8,8,8.5,4.54,8.2
Duisburg,Duisburg,Germany,DEU,8,10,3,Populated place,1276757,488005,6.7500166,51.4299732,2593.75023055556,452.361483333333,2594,452,93.7502305555554,-547.638516666667,94,-548,western_europe,1.07,8,8,8.5,4.54,8.2
Munich,Munich,Germany,DEU,2,200,3,Admin-1 capital,1275000,1260391,11.5730476,48.1318879,2660.73677222222,498.168223611111,2661,498,160.736772222222,-501.831776388889,161,-502,western_europe,1.07,8,8,8.5,4.54,8.2
