name,country_source,longitude,latitude,pixel_x,pixel_y,pixel_x_int,pixel_y_int,centered_x,centered_y,source,source_line
Aachen,Deutschland,6.1,50.766667,2584.72,461.57,2585,462,84.72,-538.43,TeX Live pst-geo cities.data,1
Aalborg,Dänemark,9.933333,57.05,2637.96,374.31,2638,374,137.96,-625.69,TeX Live pst-geo cities.data,2
Aarhus,Dänemark,10.216667,56.166667,2641.9,386.57,2642,387,141.9,-613.43,TeX Live pst-geo cities.data,3
Aberdeen,Großbritannien,-2.1,57.133333,2470.83,373.15,2471,373,-29.17,-626.85,TeX Live pst-geo cities.data,4
Abidjan,Elfenbeinküste,-4.033333,5.316667,2443.98,1092.82,2444,1093,-56.02,92.82,TeX Live pst-geo cities.data,5
Abilene,"USA, TX",-99.716667,32.466667,1115.05,715.74,1115,716,-1384.95,-284.26,TeX Live pst-geo cities.data,6
Abu Dhabi,Vereinigte Arabische Emirate,54.416667,24.466667,3255.79,826.85,3256,827,755.79,-173.15,TeX Live pst-geo cities.data,7
Acapulco,Mexiko,-99.916667,16.833333,1112.27,932.87,1112,933,-1387.73,-67.13,TeX Live pst-geo cities.data,8
Accra,Ghana,-0.25,5.55,2496.53,1089.58,2497,1090,-3.47,89.58,TeX Live pst-geo cities.data,9
Adana,Türkei,35.316667,37.0,2990.51,652.78,2991,653,490.51,-347.22,TeX Live pst-geo cities.data,10
Addis Abeba,Äthiopien,38.783333,9.033333,3038.66,1041.2,3039,1041,538.66,41.2,TeX Live pst-geo cities.data,11
Adelaide,Australien,138.6,-34.933333,4425.0,1651.85,4425,1652,1925.0,651.85,TeX Live pst-geo cities.data,12
Aden,Jemen,45.016667,12.766667,3125.23,989.35,3125,989,625.23,-10.65,TeX Live pst-geo cities.data,13
Agadez,Niger,7.933333,17.0,2610.19,930.56,2610,931,110.19,-69.44,TeX Live pst-geo cities.data,14
Agadir,Marokko,-9.666667,30.5,2365.74,743.06,2366,743,-134.26,-256.94,TeX Live pst-geo cities.data,15
Ahmedabad,Indien,72.666667,23.0,3509.26,847.22,3509,847,1009.26,-152.78,TeX Live pst-geo cities.data,16
Akron,"USA, OH",81.516667,41.083333,3632.18,596.06,3632,596,1132.18,-403.94,TeX Live pst-geo cities.data,17
Akureyri,Island,-18.066667,65.683333,2249.07,254.4,2249,254,-250.93,-745.6,TeX Live pst-geo cities.data,18
Akyab,Myanmar,92.916667,20.15,3790.51,886.81,3791,887,1290.51,-113.19,TeX Live pst-geo cities.data,19
Al Mahalla Al-Kubra,Ägypten,31.166667,30.983333,2932.87,736.34,2933,736,432.87,-263.66,TeX Live pst-geo cities.data,21
Al-Mobarraz,Saudi-Arabien,49.616667,25.433333,3189.12,813.43,3189,813,689.12,-186.57,TeX Live pst-geo cities.data,20
Albany,"USA, GA",-84.15,31.566667,1331.25,728.24,1331,728,-1168.75,-271.76,TeX Live pst-geo cities.data,22
Albany,"USA, NY",-73.75,42.65,1475.69,574.31,1476,574,-1024.31,-425.69,TeX Live pst-geo cities.data,23
Albuquerque,"USA, NM",-106.65,35.083333,1018.75,679.4,1019,679,-1481.25,-320.6,TeX Live pst-geo cities.data,24
Aleppo,Syrien,37.166667,36.233333,3016.2,663.43,3016,663,516.2,-336.57,TeX Live pst-geo cities.data,25
Alexandria,"USA, LA",-92.45,31.3,1215.97,731.94,1216,732,-1284.03,-268.06,TeX Live pst-geo cities.data,27
Alexandria,"USA, VA",-77.05,38.8,1429.86,627.78,1430,628,-1070.14,-372.22,TeX Live pst-geo cities.data,28
Alexandria,Ägypten,29.916667,31.216667,2915.51,733.1,2916,733,415.51,-266.9,TeX Live pst-geo cities.data,26
Algier,Algerien,3.05,36.783333,2542.36,655.79,2542,656,42.36,-344.21,TeX Live pst-geo cities.data,29
Allentown,"USA, PA",-75.466667,40.6,1451.85,602.78,1452,603,-1048.15,-397.22,TeX Live pst-geo cities.data,30
Altoona,"USA, PA",-78.4,40.516667,1411.11,603.94,1411,604,-1088.89,-396.06,TeX Live pst-geo cities.data,31
Amadora,Portugal,-9.216667,38.75,2371.99,628.47,2372,628,-128.01,-371.53,TeX Live pst-geo cities.data,32
Amarillo,"USA, TX",-101.833333,35.2,1085.65,677.78,1086,678,-1414.35,-322.22,TeX Live pst-geo cities.data,33
